成果名称            成果类型            时间                作者                单位                支撑基金            
大量批量测试447     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试448     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试449     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试45      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试450     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试451     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试452     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试453     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试454     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试455     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试456     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试457     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试458     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试459     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试46      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试460     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试461     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试462     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试463     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试464     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试465     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试466     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试467     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试468     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试469     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试47      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试470     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试471     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试472     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试473     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试474     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试475     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试476     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试477     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试478     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试479     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试48      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试480     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试481     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试482     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试483     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试484     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试485     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试486     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试487     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试488     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试489     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试49      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试490     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试491     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试492     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试493     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试494     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试495     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试496     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试497     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试498     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试499     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试5       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试50      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试500     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试501     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试502     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试503     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试504     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试505     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试506     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试507     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试508     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试509     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试51      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试510     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试511     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试512     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试513     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试514     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试515     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试516     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试517     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试518     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试519     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试52      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试520     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试521     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试522     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试523     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试524     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试525     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试526     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试527     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试528     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试529     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试53      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试530     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试531     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试532     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试533     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试534     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试535     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试536     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试537     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试538     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试539     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试54      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试540     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试541     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试542     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试543     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试544     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试545     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试546     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试547     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试548     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试549     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试55      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试550     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试551     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试552     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试553     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试554     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试555     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试556     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试557     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试558     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试559     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试56      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试560     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试561     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试562     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试563     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试564     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试565     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试566     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试567     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试568     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试569     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试57      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试570     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试571     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试572     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试573     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试574     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试575     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试576     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试577     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试578     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试579     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试58      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试580     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试581     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试582     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试583     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试584     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试585     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试586     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试587     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试588     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试589     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试59      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试590     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试591     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试592     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试593     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试594     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试595     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试596     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试597     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试598     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试599     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试6       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试60      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试600     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试601     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试602     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试603     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试604     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试605     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试606     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试607     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试608     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试609     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试61      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试610     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试611     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试612     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试613     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试614     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试615     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试616     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试617     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试618     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试619     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试62      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试620     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试621     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试622     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试623     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试624     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试625     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试626     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试627     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试628     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试629     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试63      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试630     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试631     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试632     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试633     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试634     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试635     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试636     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试637     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试638     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试639     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试64      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试640     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试641     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试642     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试643     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试644     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试645     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试646     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试647     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试648     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试649     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试65      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试650     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试651     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试652     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试653     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试654     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试655     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试656     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试657     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试658     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试659     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试66      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试660     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试661     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试662     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试663     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试664     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试665     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试666     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试667     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试668     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试669     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试67      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试670     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试671     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试672     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试673     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试674     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试675     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试676     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试677     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试678     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试679     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试68      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试680     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试681     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试682     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试683     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试684     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试685     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试686     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试687     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试688     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试689     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试69      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试690     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试691     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试692     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试693     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试694     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试695     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试696     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试697     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试698     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试699     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试7       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试70      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试700     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试701     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试702     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试703     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试704     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试705     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试706     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试707     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试708     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试709     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试71      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试710     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试711     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试712     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试713     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试714     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试715     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试716     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试717     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试718     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试719     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试72      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试720     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试721     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试722     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试723     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试724     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试725     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试726     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试727     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试728     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试729     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试73      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试730     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试731     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试732     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试733     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试734     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试735     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试736     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试737     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试738     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试739     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试74      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试740     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试741     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试742     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试743     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试744     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试745     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试746     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试747     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试748     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试749     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试75      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试750     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试751     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试752     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试753     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试754     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试755     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试756     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试757     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试758     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试759     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试76      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试760     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试761     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试762     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试763     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试764     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试765     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试766     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试767     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试768     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试769     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试77      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试770     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试771     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试772     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试773     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试774     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试775     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试776     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试777     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试778     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试779     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试78      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试780     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试781     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试782     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试783     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试784     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试785     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试786     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试787     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试788     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试789     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试79      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试790     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试791     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试792     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试793     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试794     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试795     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试796     大量测试类型        2016-01-01          大量作者            大量公司            100000              
